XC-ID,scientific name,bird name,Vocalization Type,Author,Page URL
454609,Branta canadensis,Canada Goose,alarm call,Ves,https://xeno-canto.org/454609
463895,Branta canadensis,Canada Goose,alarm call,Jorge Leitão,https://xeno-canto.org/463895
469660,Branta canadensis,Canada Goose,alarm call,Jim Berry,https://xeno-canto.org/469660
474984,Branta canadensis,Canada Goose,"alarm call, call, song",Elias A. Ryberg,https://xeno-canto.org/474984
490827,Branta canadensis,Canada Goose,alarm call,Stanislas Wroza,https://xeno-canto.org/490827
543318,Branta canadensis,Canada Goose,"alarm call, dispute between two males.",Meena Haribal,https://xeno-canto.org/543318
543320,Branta canadensis,Canada Goose,"alarm call, a pair flying together while defending the property.",Meena Haribal,https://xeno-canto.org/543320
553619,Branta canadensis,Canada Goose,alarm call,Niels Van Doninck,https://xeno-canto.org/553619
553620,Branta canadensis,Canada Goose,alarm call,Niels Van Doninck,https://xeno-canto.org/553620
553621,Branta canadensis,Canada Goose,alarm call,Niels Van Doninck,https://xeno-canto.org/553621
554986,Branta canadensis,Canada Goose,"alarm call, flight call",Niels Van Doninck,https://xeno-canto.org/554986
61893,Branta canadensis,Canada Goose,alarm call,Erik Eggenkamp,https://xeno-canto.org/61893
627972,Branta canadensis,Canada Goose,"alarm call, call, flight call",Niels Van Doninck,https://xeno-canto.org/627972
635655,Branta canadensis,Canada Goose,alarm call,Stephan Risch,https://xeno-canto.org/635655
661966,Branta canadensis,Canada Goose,"alarm call, flight call",Hazel Reeves,https://xeno-canto.org/661966
711244,Branta canadensis,Canada Goose,"alarm call, call",David Kuster,https://xeno-canto.org/711244
711380,Branta canadensis,Canada Goose,"alarm call, call, duet",Jim Berry,https://xeno-canto.org/711380
750281,Branta canadensis,Canada Goose,"alarm call, call",Peter Wijnsouw,https://xeno-canto.org/750281
786504,Branta canadensis,Canada Goose,"aberrant, alarm call, call",Hans Schekkerman,https://xeno-canto.org/786504
806434,Branta canadensis,Canada Goose,"alarm call, call",Francesco Barberini,https://xeno-canto.org/806434
862941,Branta canadensis,Canada Goose,"alarm call, Wind.",Paul Kelly,https://xeno-canto.org/862941
862942,Branta canadensis,Canada Goose,"alarm call, Wind.",Paul Kelly,https://xeno-canto.org/862942
862943,Branta canadensis,Canada Goose,"alarm call, Wind.",Paul Kelly,https://xeno-canto.org/862943
862944,Branta canadensis,Canada Goose,"alarm call, flight call, Wind.",Paul Kelly,https://xeno-canto.org/862944
898189,Branta canadensis,Canada Goose,alarm call,Marc Boisvert,https://xeno-canto.org/898189
495044,Corvus corone orientalis,Unknown,"alarm call, call",Oscar Campbell,https://xeno-canto.org/495044
497850,Corvus corone,Carrion Crow,alarm call,Beatrix Saadi-Varchmin,https://xeno-canto.org/497850
500630,Corvus corone corone,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/500630
500636,Corvus corone corone,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/500636
501446,Corvus corone corone,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/501446
506951,Corvus corone,Carrion Crow,"alarm call, call",Olivier SWIFT,https://xeno-canto.org/506951
506952,Corvus corone,Carrion Crow,"alarm call, call",Olivier SWIFT,https://xeno-canto.org/506952
510546,Corvus corone corone,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/510546
511942,Corvus corone corone,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/511942
511943,Corvus corone corone,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/511943
516262,Corvus corone corone,Unknown,"alarm call, call, clucking",Marie-Lan Taÿ Pamart,https://xeno-canto.org/516262
516263,Corvus corone corone,Unknown,"alarm call, call, clucking",Marie-Lan Taÿ Pamart,https://xeno-canto.org/516263
516957,Corvus corone corone,Unknown,"alarm call, flight call",Marie-Lan Taÿ Pamart,https://xeno-canto.org/516957
518419,Corvus corone corone,Unknown,"alarm call, flight call",Marie-Lan Taÿ Pamart,https://xeno-canto.org/518419
518423,Corvus corone corone,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/518423
595503,Corvus corone,Carrion Crow,"alarm call, call, flight call",Nikolay Sariev,https://xeno-canto.org/595503
676098,Corvus corone orientalis,Unknown,"alarm call, call",Albert Lastukhin,https://xeno-canto.org/676098
684076,Corvus corone,Carrion Crow,"alarm call, call",Andrew Harrop,https://xeno-canto.org/684076
688965,Corvus corone,Carrion Crow,alarm call,W. Agster,https://xeno-canto.org/688965
738471,Corvus corone,Carrion Crow,alarm call,Clive Davies,https://xeno-canto.org/738471
741985,Corvus corone,Carrion Crow,alarm call,guus van duin,https://xeno-canto.org/741985
785829,Corvus corone,Carrion Crow,alarm call,Shaun Micklewright,https://xeno-canto.org/785829
805954,Corvus corone,Carrion Crow,"alarm call, call",Vadim Ivushkin,https://xeno-canto.org/805954
807330,Corvus corone,Carrion Crow,"alarm call, call",Manuel Tacke,https://xeno-canto.org/807330
881570,Corvus corone,Carrion Crow,alarm call,Olivier SWIFT,https://xeno-canto.org/881570
955526,Corvus corone,Carrion Crow,"alarm call, flight call",João Tomás,https://xeno-canto.org/955526
956667,Corvus corone,Carrion Crow,"alarm call, flight call",João Tomás,https://xeno-canto.org/956667
780514,Turdus merula,Common Blackbird,alarm call,Vladimír Nemček,https://xeno-canto.org/780514
782235,Turdus merula,Common Blackbird,alarm call,Bernard BOUSQUET,https://xeno-canto.org/782235
786475,Turdus merula,Common Blackbird,alarm call,Tiiu Tali,https://xeno-canto.org/786475
857700,Turdus merula,Common Blackbird,alarm call,Manuel Grosselet,https://xeno-canto.org/857700
861175,Turdus merula,Common Blackbird,"alarm call, call",Jocce Ekstrom,https://xeno-canto.org/861175
862289,Turdus merula,Common Blackbird,alarm call,Rostyslav Romanyshyn,https://xeno-canto.org/862289
864280,Turdus merula,Common Blackbird,"alarm call, call",Susanne Kuijpers,https://xeno-canto.org/864280
871358,Turdus merula,Common Blackbird,alarm call,Paul Kelly,https://xeno-canto.org/871358
871717,Turdus merula,Common Blackbird,alarm call,Martin Billard,https://xeno-canto.org/871717
872566,Turdus merula,Common Blackbird,"aberrant, alarm call",FREDERIC Lionel,https://xeno-canto.org/872566
876888,Turdus merula intermedius,Unknown,alarm call,Ding Li Yong,https://xeno-canto.org/876888
877449,Turdus merula,Common Blackbird,alarm call,Romain Leuthold,https://xeno-canto.org/877449
877614,Turdus merula,Common Blackbird,"alarm call, call",Paul Kelly,https://xeno-canto.org/877614
878147,Turdus merula,Common Blackbird,alarm call,Luca Baghino,https://xeno-canto.org/878147
878531,Turdus merula,Common Blackbird,alarm call,Paul Kelly,https://xeno-canto.org/878531
879894,Turdus merula,Common Blackbird,"alarm call, call, dawn song, song",Susanne Kuijpers,https://xeno-canto.org/879894
880540,Turdus merula,Common Blackbird,alarm call,Paul Kelly,https://xeno-canto.org/880540
883876,Turdus merula,Common Blackbird,"alarm call, call",Frantz Barrault,https://xeno-canto.org/883876
891027,Turdus merula,Common Blackbird,"alarm call, flight call",João Tomás,https://xeno-canto.org/891027
891788,Turdus merula,Common Blackbird,alarm call,Bo Shunqi薄顺奇,https://xeno-canto.org/891788
892801,Turdus merula,Common Blackbird,alarm call,Martin Billard,https://xeno-canto.org/892801
893365,Turdus merula,Common Blackbird,alarm call,Romuald Mikusek,https://xeno-canto.org/893365
896624,Turdus merula,Common Blackbird,"alarm call, call, song",Martin Billard,https://xeno-canto.org/896624
896728,Turdus merula merula,Unknown,alarm call,Stuart Fisher,https://xeno-canto.org/896728
896771,Turdus merula,Common Blackbird,"alarm call, call, high-pitched call",Stein Ø. Nilsen,https://xeno-canto.org/896771
897656,Turdus merula,Common Blackbird,"alarm call, call",FREDERIC Lionel,https://xeno-canto.org/897656
898914,Turdus merula,Common Blackbird,alarm call,Nicolas Martinez,https://xeno-canto.org/898914
901973,Turdus merula,Common Blackbird,"alarm call, flight call",Albert Lastukhin,https://xeno-canto.org/901973
919083,Turdus merula,Common Blackbird,alarm call,Uku Paal,https://xeno-canto.org/919083
919813,Turdus merula,Common Blackbird,alarm call,Uku Paal,https://xeno-canto.org/919813
920319,Turdus merula,Common Blackbird,"alarm call, call",Martin Billard,https://xeno-canto.org/920319
931182,Turdus merula,Common Blackbird,alarm call,Ulf Elman,https://xeno-canto.org/931182
939151,Turdus merula merula,Unknown,alarm call,Bram Piot,https://xeno-canto.org/939151
953491,Turdus merula,Common Blackbird,alarm call,Xavier Riera,https://xeno-canto.org/953491
956132,Turdus merula,Common Blackbird,alarm call,David Boyle,https://xeno-canto.org/956132
964249,Turdus merula,Common Blackbird,"alarm call, call",Jocce Ekstrom,https://xeno-canto.org/964249
965144,Turdus merula,Common Blackbird,"alarm call, imitation",Mirko Tomasi,https://xeno-canto.org/965144
329312,Fringilla coelebs,Common Chaffinch,alarm call,Romuald Mikusek,https://xeno-canto.org/329312
349837,Fringilla coelebs,Common Chaffinch,"alarm call, call",Tero Linjama,https://xeno-canto.org/349837
349838,Fringilla coelebs,Common Chaffinch,alarm call,Tero Linjama,https://xeno-canto.org/349838
372470,Fringilla coelebs,Common Chaffinch,alarm call,Dmitry Kulakov,https://xeno-canto.org/372470
372472,Fringilla coelebs,Common Chaffinch,alarm call,Dmitry Kulakov,https://xeno-canto.org/372472
403127,Fringilla coelebs,Common Chaffinch,alarm call,Karl-Birger Strann,https://xeno-canto.org/403127
410007,Fringilla coelebs,Common Chaffinch,alarm call,Piotr Szczypinski,https://xeno-canto.org/410007
410008,Fringilla coelebs,Common Chaffinch,alarm call,Piotr Szczypinski,https://xeno-canto.org/410008
411003,Fringilla coelebs,Common Chaffinch,alarm call,Jerome Fischer,https://xeno-canto.org/411003
414323,Fringilla coelebs,Common Chaffinch,alarm call,Dimitri,https://xeno-canto.org/414323
463558,Fringilla coelebs,Common Chaffinch,"alarm call, call, song, sii call",Stanislas Wroza,https://xeno-canto.org/463558
464315,Fringilla coelebs,Common Chaffinch,"alarm call, call, flight call, high sii call, mating call",Stanislas Wroza,https://xeno-canto.org/464315
464317,Fringilla coelebs,Common Chaffinch,"alarm call, call, flight call, high sii call, mating call",Stanislas Wroza,https://xeno-canto.org/464317
471638,Fringilla coelebs tyrrhenica,Unknown,"alarm call, call, flight call, various calls",Stanislas Wroza,https://xeno-canto.org/471638
477972,Fringilla coelebs coelebs,Unknown,alarm call,Marie-Lan Taÿ Pamart,https://xeno-canto.org/477972
484500,Fringilla coelebs,Common Chaffinch,alarm call,Grzegorz Lorek,https://xeno-canto.org/484500
489185,Fringilla coelebs,Common Chaffinch,"alarm call, call, ""huit call""",Stanislas Wroza,https://xeno-canto.org/489185
550293,Fringilla coelebs,Common Chaffinch,"alarm call, odd ""ping""",Stanislas Wroza,https://xeno-canto.org/550293
604232,Fringilla coelebs,Common Chaffinch,"alarm call, call",Jacobo Ramil MIllarengo,https://xeno-canto.org/604232
630184,Fringilla coelebs,Common Chaffinch,alarm call,Marcin Urbański,https://xeno-canto.org/630184
642449,Fringilla coelebs,Common Chaffinch,"alarm call, call",Quentin Giraud,https://xeno-canto.org/642449
667258,Fringilla coelebs,Common Chaffinch,alarm call,Romuald Mikusek,https://xeno-canto.org/667258
668787,Fringilla coelebs,Common Chaffinch,"alarm call, call, rain call",Cedric Mroczko,https://xeno-canto.org/668787
684061,Fringilla coelebs,Common Chaffinch,"alarm call, call",Domagoj Tomičić,https://xeno-canto.org/684061
686302,Fringilla coelebs,Common Chaffinch,alarm call,Irish Wildlife Sounds,https://xeno-canto.org/686302
686930,Fringilla coelebs,Common Chaffinch,alarm call,Niels Van Doninck,https://xeno-canto.org/686930
687914,Fringilla coelebs,Common Chaffinch,alarm call,Romuald Mikusek,https://xeno-canto.org/687914
696337,Fringilla coelebs,Common Chaffinch,"alarm call, ""chant de pluie""",Dominique Guillerme,https://xeno-canto.org/696337
696934,Fringilla coelebs coelebs,Unknown,alarm call,András Schmidt,https://xeno-canto.org/696934
715586,Fringilla coelebs,Common Chaffinch,alarm call,Hannu Varkki,https://xeno-canto.org/715586
729646,Fringilla coelebs,Common Chaffinch,"alarm call, call",Török Tamás,https://xeno-canto.org/729646
740668,Fringilla coelebs,Common Chaffinch,alarm call,Romuald Mikusek,https://xeno-canto.org/740668
762179,Fringilla coelebs,Common Chaffinch,alarm call,Romuald Mikusek,https://xeno-canto.org/762179
762187,Fringilla coelebs,Common Chaffinch,"alarm call, call",Romuald Mikusek,https://xeno-canto.org/762187
767842,Fringilla coelebs,Common Chaffinch,"aberrant, alarm call, flight call, odd ""ping"" call in flight",Stanislas Wroza,https://xeno-canto.org/767842
800618,Fringilla coelebs tyrrhenica,Unknown,"alarm call, call, three types of calls",Stanislas Wroza,https://xeno-canto.org/800618
812519,Fringilla coelebs,Common Chaffinch,"alarm call, call",Albert Lastukhin,https://xeno-canto.org/812519
812520,Fringilla coelebs,Common Chaffinch,"alarm call, call",Albert Lastukhin,https://xeno-canto.org/812520
821534,Fringilla coelebs,Common Chaffinch,"alarm call, call, ""rain-call""",Beatrix Saadi-Varchmin,https://xeno-canto.org/821534
891499,Fringilla coelebs,Common Chaffinch,alarm call,FREDERIC Lionel,https://xeno-canto.org/891499
917609,Fringilla coelebs,Common Chaffinch,alarm call,João Tomás,https://xeno-canto.org/917609
917613,Fringilla coelebs,Common Chaffinch,alarm call,João Tomás,https://xeno-canto.org/917613
150030,Alcedo atthis,Common Kingfisher,"alarm call, aggression",Jarek Matusiak,https://xeno-canto.org/150030
202463,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202463
202464,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202464
202467,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202467
202471,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202471
202482,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202482
202488,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202488
202489,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202489
202490,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202490
202492,Alcedo atthis,Common Kingfisher,"alarm call, call",José Carlos Sires,https://xeno-canto.org/202492
283497,Alcedo atthis,Common Kingfisher,alarm call,Vincent van der Spek,https://xeno-canto.org/283497
343012,Alcedo atthis,Common Kingfisher,alarm call,Andrew Mascarenhas,https://xeno-canto.org/343012
379987,Alcedo atthis,Common Kingfisher,alarm call,Frank Roos,https://xeno-canto.org/379987
383369,Alcedo atthis,Common Kingfisher,"alarm call, call, aggressive calls",Joost van Bruggen,https://xeno-canto.org/383369
465069,Alcedo atthis,Common Kingfisher,"alarm call, call",johannes buhl,https://xeno-canto.org/465069
496578,Alcedo atthis,Common Kingfisher,"alarm call, call, flight call",Stanislas Wroza,https://xeno-canto.org/496578
521994,Alcedo atthis,Common Kingfisher,"alarm call, call",Dimitri,https://xeno-canto.org/521994
522819,Alcedo atthis,Common Kingfisher,"alarm call, call, rolled calls",Stanislas Wroza,https://xeno-canto.org/522819
522820,Alcedo atthis,Common Kingfisher,"alarm call, flight call",Stanislas Wroza,https://xeno-canto.org/522820
522821,Alcedo atthis,Common Kingfisher,"alarm call, flight call",Stanislas Wroza,https://xeno-canto.org/522821
522989,Alcedo atthis,Common Kingfisher,"alarm call, call, flight call",Stanislas Wroza,https://xeno-canto.org/522989
590951,Alcedo atthis atthis,Unknown,"alarm call, flight call",Jarek Matusiak,https://xeno-canto.org/590951
591059,Alcedo atthis atthis,Unknown,"alarm call, call, aggression",Jarek Matusiak,https://xeno-canto.org/591059
591060,Alcedo atthis atthis,Unknown,"alarm call, call, aggression",Jarek Matusiak,https://xeno-canto.org/591060
591062,Alcedo atthis atthis,Unknown,"alarm call, flight call, aggression",Jarek Matusiak,https://xeno-canto.org/591062
615938,Alcedo atthis,Common Kingfisher,"alarm call, call, flight call",Robert Kruszyk,https://xeno-canto.org/615938
677475,Alcedo atthis,Common Kingfisher,alarm call,Lisette,https://xeno-canto.org/677475
712565,Alcedo atthis,Common Kingfisher,"alarm call, call, flight call",Paweł Malczyk,https://xeno-canto.org/712565
738129,Alcedo atthis,Common Kingfisher,"alarm call, call",Vincent Palomares,https://xeno-canto.org/738129
765883,Alcedo atthis,Common Kingfisher,"alarm call, flight call",Andrew Harrop,https://xeno-canto.org/765883
766344,Alcedo atthis,Common Kingfisher,"alarm call, call, flight call",Georg Amann,https://xeno-canto.org/766344
775757,Alcedo atthis,Common Kingfisher,alarm call,Paul Kelly,https://xeno-canto.org/775757
824141,Alcedo atthis,Common Kingfisher,alarm call,Frank Holzapfel,https://xeno-canto.org/824141
946998,Alcedo atthis ispida,Unknown,"alarm call, call, flight call",Karol Łanocha,https://xeno-canto.org/946998
946999,Alcedo atthis ispida,Unknown,"alarm call, call, flight call",Karol Łanocha,https://xeno-canto.org/946999
103119,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Stuart Fisher,https://xeno-canto.org/103119
136244,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Bram Piot,https://xeno-canto.org/136244
180302,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Leonardo Graziani,https://xeno-canto.org/180302
183090,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Bram Piot,https://xeno-canto.org/183090
187585,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Albert Lastukhin,https://xeno-canto.org/187585
201519,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Albert Lastukhin,https://xeno-canto.org/201519
24948,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Stuart Fisher,https://xeno-canto.org/24948
26656,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Bram Piot,https://xeno-canto.org/26656
357167,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Nicolas Martinez,https://xeno-canto.org/357167
357169,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, begging call",Nicolas Martinez,https://xeno-canto.org/357169
426007,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Bram Piot,https://xeno-canto.org/426007
475040,Phoenicurus phoenicurus phoenicurus,Common Redstart,alarm call,Manuel Grosselet,https://xeno-canto.org/475040
478532,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/478532
478533,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/478533
560039,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/560039
562589,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/562589
570034,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/570034
728224,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/728224
728225,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, begging call, call, hatchling or nestling",Nicolas Martinez,https://xeno-canto.org/728225
728226,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/728226
806150,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, call",Nicolas Martinez,https://xeno-canto.org/806150
898343,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, song",Nicolas Martinez,https://xeno-canto.org/898343
898344,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, song",Nicolas Martinez,https://xeno-canto.org/898344
916986,Phoenicurus phoenicurus phoenicurus,Common Redstart,"alarm call, begging call, call",Nicolas Martinez,https://xeno-canto.org/916986
27743,Prunella modularis occidentalis,Unknown,"alarm call, contact & alarm calls",Stuart Fisher,https://xeno-canto.org/27743
29602,Prunella modularis,Dunnock,"alarm call, contact & alarm call",Stuart Fisher,https://xeno-canto.org/29602
447428,Prunella modularis,Dunnock,"alarm call, call",Stanislas Wroza,https://xeno-canto.org/447428
515977,Prunella modularis,Dunnock,alarm call,Olivier SWIFT,https://xeno-canto.org/515977
527062,Prunella modularis,Dunnock,alarm call,Stanislas Wroza,https://xeno-canto.org/527062
527434,Prunella modularis,Dunnock,alarm call,Stanislas Wroza,https://xeno-canto.org/527434
535398,Prunella modularis,Dunnock,"alarm call, call, song, interaction between several males, short thin excitement calls",Stanislas Wroza,https://xeno-canto.org/535398
